record_id,train_number,train_name,origin_station_code,origin_station,destination_station_code,destination_station,journey_date,scheduled_departure,delay_minutes,train_status,delay_cause,passenger_count,occupancy_percent,platform_number,weather_condition,temperature_c,visibility_m,risk_score,risk_level,maintenance_flag,crowd_alert,anomaly_detected,eta_delay_minutes,recommended_action
48,14462,Superfast,SDAH,Sealdah,BBS,Bhubaneswar,2026-04-28,13:00,0,On Time,No Delay,952,55,15,Rain,43,5572,25,Low,0,0,1,1,Monitor
49,13250,Duronto,LKO,Lucknow Charbagh,PNBE,Patna Junction,2026-02-16,08:30,8,Delayed,Congestion,385,87,17,Clear,43,7786,28,Low,0,0,0,7,Monitor
50,12243,Jan Shatabdi,KOTA,Kota Junction,BPL,Bhopal Junction,2026-04-24,02:45,0,On Time,No Delay,1651,64,16,Clear,41,9164,20,Low,0,1,0,0,Monitor
51,14122,Garib Rath,HWH,Howrah Junction,SDAH,Sealdah,2026-03-06,02:45,999,Cancelled,Signal Failure,780,65,8,Clear,30,7051,100,Critical,0,0,1,999,Escalate to operations command
52,14275,Duronto,KOTA,Kota Junction,PUNE,Pune Junction,2026-02-15,11:30,0,On Time,No Delay,1121,88,9,Cloudy,35,453,33,Low,0,0,0,9,Monitor
53,14139,Vande Bharat,NGP,Nagpur Junction,ADI,Ahmedabad Junction,2026-01-20,23:45,0,Completed,No Delay,398,77,10,Fog,36,382,35,Low,0,0,0,7,Monitor
54,14646,Vande Bharat,JP,Jaipur Junction,PUNE,Pune Junction,2026-03-03,09:30,30,Delayed,Technical Fault,1466,95,4,Rain,42,945,41,Medium,0,1,0,39,Notify station control
55,12617,Jan Shatabdi,NGP,Nagpur Junction,MAS,Chennai Central,2026-02-05,07:45,45,At Risk,Weather,516,74,16,Cloudy,44,5135,46,Medium,0,0,1,50,Notify station control
56,12251,Rajdhani,ALD,Prayagraj Junction,CNB,Kanpur Central,2026-08-01,19:30,0,On Time,No Delay,934,100,9,Clear,32,6542,36,Low,0,1,0,6,Monitor
57,12282,Express,KOTA,Kota Junction,PUNE,Pune Junction,2026-07-15,11:45,999,Cancelled,Track Obstruction,466,79,16,Cloudy,17,1892,100,Critical,0,0,1,999,Escalate to operations command
58,14084,Shatabdi,GKP,Gorakhpur,SDAH,Sealdah,2026-02-22,11:30,75,At Risk,Weather,247,77,12,Heatwave,20,7564,55,Medium,0,0,1,77,Notify station control
59,12825,Shatabdi,BCT,Mumbai Central,NGP,Nagpur Junction,2026-02-27,17:15,0,Completed,No Delay,367,64,1,Fog,15,885,34,Low,0,0,0,2,Monitor
60,12743,Duronto,GKP,Gorakhpur,SBC,KSR Bengaluru City,2026-06-26,07:30,5,At Risk,Technical Fault,446,57,18,Clear,22,3158,20,Low,0,0,0,0,Monitor
61,12807,Duronto,NDLS,New Delhi,SBC,KSR Bengaluru City,2026-01-02,15:45,12,At Risk,Maintenance Work,1098,79,4,Rain,28,8554,30,Low,0,0,1,8,Monitor
62,14292,Express,NGP,Nagpur Junction,HWH,Howrah Junction,2026-08-17,19:45,0,On Time,No Delay,1425,58,5,Clear,16,2367,20,Low,0,0,0,5,Monitor
63,14493,Vande Bharat,HWH,Howrah Junction,SDAH,Sealdah,2026-02-27,02:00,25,Delayed,Maintenance Work,996,70,14,Clear,24,4476,34,Low,1,0,0,24,Monitor
64,13117,Jan Shatabdi,NGP,Nagpur Junction,HWH,Howrah Junction,2026-05-20,09:30,0,On Time,No Delay,1330,79,11,Storm,35,2302,39,Low,0,0,0,6,Monitor
65,14328,Duronto,HWH,Howrah Junction,KOTA,Kota Junction,2026-01-06,08:30,25,Delayed,Weather,1319,58,8,Fog,39,519,47,Medium,1,0,0,20,Notify station control
66,12024,Duronto,LKO,Lucknow Charbagh,BPL,Bhopal Junction,2026-03-12,09:30,60,Delayed,Signal Failure,367,94,17,Clear,20,6463,53,Medium,0,1,1,69,Notify station control
67,12120,Duronto,GKP,Gorakhpur,CSTM,Mumbai CSMT,2026-02-10,21:45,8,At Risk,Weather,1087,66,15,Rain,27,4775,25,Low,0,0,1,6,Monitor
68,12129,Intercity,PNBE,Patna Junction,JP,Jaipur Junction,2026-06-04,00:45,0,Completed,No Delay,598,61,10,Clear,44,3760,26,Low,0,0,0,0,Monitor
69,12449,Jan Shatabdi,NGP,Nagpur Junction,MAS,Chennai Central,2026-02-13,00:30,45,At Risk,Signal Failure,1073,100,11,Clear,32,7333,51,Medium,0,1,0,52,Notify station control
70,13112,Intercity,MAS,Chennai Central,BBS,Bhubaneswar,2026-03-03,16:00,25,At Risk,Platform Change,1253,79,3,Clear,26,5383,39,Low,0,0,0,30,Monitor
71,12645,Superfast,PNBE,Patna Junction,ALD,Prayagraj Junction,2026-03-15,02:45,15,At Risk,Technical Fault,704,82,3,Clear,19,8395,34,Low,0,0,0,24,Monitor
72,12876,Rajdhani,VSKP,Visakhapatnam,JP,Jaipur Junction,2026-09-13,14:00,0,On Time,No Delay,1125,95,15,Clear,15,1232,30,Low,0,1,0,4,Monitor
73,12642,Sampark Kranti,VSKP,Visakhapatnam,KOTA,Kota Junction,2026-09-17,19:15,15,Delayed,Weather,391,86,3,Storm,30,3127,43,Medium,0,0,1,17,Notify station control
74,12950,Intercity,CNB,Kanpur Central,BPL,Bhopal Junction,2026-03-11,02:15,8,At Risk,Weather,314,49,11,Heavy Rain,17,9441,37,Low,0,0,0,15,Monitor
75,13217,Sampark Kranti,CNB,Kanpur Central,JP,Jaipur Junction,2026-05-06,06:30,10,At Risk,Platform Change,1497,83,17,Clear,16,7237,33,Low,0,0,0,16,Monitor
76,12718,Duronto,BBS,Bhubaneswar,SBC,KSR Bengaluru City,2026-07-05,05:15,0,On Time,No Delay,387,49,17,Fog,38,632,35,Low,0,0,0,0,Monitor
77,14106,Intercity,KOTA,Kota Junction,MAS,Chennai Central,2026-06-22,18:45,0,On Time,No Delay,1089,56,15,Rain,21,9049,20,Low,0,0,0,4,Monitor
78,13265,Jan Shatabdi,VSKP,Visakhapatnam,JP,Jaipur Junction,2026-09-28,03:30,0,On Time,No Delay,588,59,5,Clear,41,4396,18,Low,0,0,0,10,Monitor
79,12858,Jan Shatabdi,CSTM,Mumbai CSMT,SBC,KSR Bengaluru City,2026-02-12,07:00,0,On Time,No Delay,634,88,1,Clear,27,1172,29,Low,0,0,1,6,Monitor
80,13019,Duronto,LKO,Lucknow Charbagh,HWH,Howrah Junction,2026-05-07,04:45,0,On Time,No Delay,1147,47,5,Heatwave,38,7985,19,Low,0,0,0,0,Monitor
81,12739,Shatabdi,HWH,Howrah Junction,LKO,Lucknow Charbagh,2026-07-01,19:30,0,On Time,No Delay,1455,68,16,Clear,33,9082,20,Low,0,0,0,2,Monitor
82,14024,Shatabdi,PUNE,Pune Junction,KOTA,Kota Junction,2026-01-21,12:30,45,Delayed,Late Incoming Train,1294,77,17,Clear,39,8616,45,Medium,0,0,1,40,Notify station control
83,13109,Superfast,ADI,Ahmedabad Junction,NDLS,New Delhi,2026-08-21,05:15,0,On Time,No Delay,392,79,11,Rain,18,1026,26,Low,0,0,1,5,Monitor
84,12138,Vande Bharat,CSTM,Mumbai CSMT,BBS,Bhubaneswar,2026-05-02,20:15,0,On Time,No Delay,265,51,11,Clear,43,5380,21,Low,1,0,1,7,Monitor
85,12184,Superfast,JP,Jaipur Junction,BPL,Bhopal Junction,2026-02-24,13:00,0,On Time,No Delay,1074,95,13,Heavy Rain,24,3360,44,Medium,0,1,0,10,Notify station control
86,14438,Superfast,NGP,Nagpur Junction,MAS,Chennai Central,2026-01-24,11:45,0,On Time,No Delay,785,60,10,Clear,28,7281,20,Low,0,0,1,9,Monitor
87,12286,Intercity,ADI,Ahmedabad Junction,BCT,Mumbai Central,2026-07-19,01:15,0,On Time,No Delay,1571,78,15,Heavy Rain,15,2368,35,Low,0,1,0,2,Monitor
88,13157,Shatabdi,VSKP,Visakhapatnam,CNB,Kanpur Central,2026-05-25,08:45,45,Delayed,Weather,691,79,4,Clear,14,3348,45,Medium,1,0,0,52,Notify station control
89,14226,Shatabdi,SBC,KSR Bengaluru City,LKO,Lucknow Charbagh,2026-05-28,05:15,0,On Time,No Delay,533,89,3,Clear,39,5536,32,Low,0,0,0,6,Monitor
90,12716,Vande Bharat,CNB,Kanpur Central,ALD,Prayagraj Junction,2026-02-10,12:45,25,At Risk,Weather,919,66,18,Heavy Rain,32,6344,45,Medium,1,0,0,24,Notify station control
91,14074,Shatabdi,PNBE,Patna Junction,NGP,Nagpur Junction,2026-09-28,01:00,0,On Time,No Delay,331,54,12,Clear,18,9332,23,Low,0,0,1,0,Monitor
92,12922,Duronto,PNBE,Patna Junction,SDAH,Sealdah,2026-09-09,04:30,0,On Time,No Delay,888,83,17,Rain,42,4953,32,Low,0,0,0,0,Monitor
93,12265,Duronto,KOTA,Kota Junction,ALD,Prayagraj Junction,2026-01-16,20:30,15,Delayed,Congestion,1334,100,3,Clear,15,9749,36,Low,1,1,1,16,Monitor
94,12788,Intercity,JP,Jaipur Junction,PNBE,Patna Junction,2026-03-11,22:30,0,On Time,No Delay,302,83,6,Clear,28,7109,29,Low,0,0,0,9,Monitor
95,12498,Superfast,CNB,Kanpur Central,NGP,Nagpur Junction,2026-06-19,23:30,12,Delayed,Maintenance Work,430,74,4,Clear,15,5054,30,Low,0,0,0,20,Monitor
96,14266,Express,SBC,KSR Bengaluru City,MAS,Chennai Central,2026-05-16,19:45,35,Delayed,Track Obstruction,985,87,17,Cloudy,28,4244,40,Medium,0,0,0,41,Notify station control
97,12014,Intercity,JP,Jaipur Junction,GKP,Gorakhpur,2026-02-13,16:45,0,On Time,No Delay,929,77,13,Clear,15,9643,28,Low,0,0,0,1,Monitor
98,14688,Sampark Kranti,ALD,Prayagraj Junction,ADI,Ahmedabad Junction,2026-09-13,16:00,0,On Time,No Delay,986,61,12,Storm,39,5855,36,Low,0,0,0,6,Monitor
99,12492,Superfast,BCT,Mumbai Central,CSTM,Mumbai CSMT,2026-09-18,15:30,90,At Risk,Late Incoming Train,466,66,6,Clear,26,5202,59,Medium,1,0,1,95,Notify station control
100,13143,Shatabdi,BBS,Bhubaneswar,NDLS,New Delhi,2026-03-17,20:45,0,Completed,No Delay,1665,94,1,Cloudy,33,8075,29,Low,0,1,1,2,Monitor
101,12174,Shatabdi,SDAH,Sealdah,ADI,Ahmedabad Junction,2026-09-11,21:45,0,On Time,No Delay,1037,89,14,Clear,30,8026,34,Low,0,0,0,0,Monitor
102,13023,Express,PNBE,Patna Junction,BPL,Bhopal Junction,2026-04-10,09:15,0,Completed,No Delay,905,94,9,Clear,33,8232,29,Low,0,1,0,2,Monitor
103,14245,Jan Shatabdi,BBS,Bhubaneswar,LKO,Lucknow Charbagh,2026-01-10,22:00,0,Completed,No Delay,740,71,18,Heavy Rain,26,6764,41,Medium,0,0,0,6,Notify station control
104,12896,Express,CNB,Kanpur Central,BBS,Bhubaneswar,2026-04-02,21:15,0,On Time,No Delay,735,95,18,Fog,36,358,40,Medium,1,1,0,0,Notify station control
105,12353,Superfast,PUNE,Pune Junction,BCT,Mumbai Central,2026-05-21,01:00,12,At Risk,Technical Fault,190,100,6,Rain,27,8093,37,Low,0,1,0,13,Monitor
106,14495,Rajdhani,GKP,Gorakhpur,PUNE,Pune Junction,2026-01-01,09:00,0,Completed,No Delay,540,66,2,Clear,40,6804,27,Low,0,0,0,10,Monitor
107,14183,Jan Shatabdi,LKO,Lucknow Charbagh,JP,Jaipur Junction,2026-06-26,09:15,15,Delayed,Weather,738,78,6,Fog,37,549,47,Medium,0,0,0,18,Notify station control
108,14066,Superfast,MAS,Chennai Central,NGP,Nagpur Junction,2026-04-15,08:30,0,On Time,No Delay,558,82,5,Rain,29,5601,26,Low,0,0,1,0,Monitor
109,14502,Garib Rath,JP,Jaipur Junction,KOTA,Kota Junction,2026-04-08,04:45,25,Delayed,Track Obstruction,1133,70,17,Clear,43,5395,37,Low,0,0,0,23,Monitor
110,14648,Intercity,SDAH,Sealdah,BBS,Bhubaneswar,2026-06-03,18:00,120,At Risk,Crew Delay,1740,90,8,Rain,35,1641,76,High,1,1,1,129,Reallocate platform and crew
111,14326,Sampark Kranti,BCT,Mumbai Central,GKP,Gorakhpur,2026-09-14,14:00,18,Delayed,Late Incoming Train,1084,83,16,Clear,16,8661,35,Low,0,0,0,14,Monitor
112,12993,Rajdhani,ALD,Prayagraj Junction,VSKP,Visakhapatnam,2026-09-02,02:45,0,On Time,No Delay,1707,82,7,Fog,32,154,36,Low,0,1,0,8,Monitor
113,14024,Duronto,BCT,Mumbai Central,LKO,Lucknow Charbagh,2026-03-18,12:15,75,At Risk,Platform Change,1098,98,13,Clear,16,9135,57,Medium,0,1,1,81,Notify station control
114,12039,Express,PUNE,Pune Junction,NDLS,New Delhi,2026-01-26,21:45,75,Delayed,Crew Delay,686,52,15,Cloudy,25,2841,47,Medium,0,0,1,76,Notify station control
115,12727,Shatabdi,KOTA,Kota Junction,NDLS,New Delhi,2026-01-05,16:30,0,On Time,No Delay,1404,61,8,Clear,37,1024,22,Low,0,0,0,9,Monitor
116,13074,Sampark Kranti,PUNE,Pune Junction,KOTA,Kota Junction,2026-07-18,15:00,40,At Risk,Technical Fault,1532,49,17,Clear,21,7075,33,Low,0,1,0,43,Monitor
117,14341,Intercity,CNB,Kanpur Central,NGP,Nagpur Junction,2026-07-18,16:15,0,On Time,No Delay,556,76,8,Clear,23,2665,30,Low,0,0,1,9,Monitor
118,12827,Superfast,BPL,Bhopal Junction,PUNE,Pune Junction,2026-04-26,18:15,90,Delayed,Weather,1276,59,7,Fog,15,354,67,High,0,0,1,86,Reallocate platform and crew
119,13039,Rajdhani,BBS,Bhubaneswar,SBC,KSR Bengaluru City,2026-09-11,09:45,0,On Time,No Delay,1698,100,16,Clear,43,4274,35,Low,0,1,0,1,Monitor
120,13140,Garib Rath,VSKP,Visakhapatnam,GKP,Gorakhpur,2026-06-14,01:15,0,On Time,No Delay,1134,100,4,Fog,39,819,45,Medium,0,1,0,5,Notify station control
121,12871,Sampark Kranti,SDAH,Sealdah,NDLS,New Delhi,2026-08-24,20:45,75,Delayed,Crew Delay,855,78,8,Clear,29,9321,57,Medium,0,0,1,80,Notify station control
122,13122,Duronto,VSKP,Visakhapatnam,MAS,Chennai Central,2026-01-14,04:15,120,At Risk,Late Incoming Train,1494,95,2,Clear,30,854,80,High,0,1,1,117,Reallocate platform and crew
123,12028,Jan Shatabdi,CSTM,Mumbai CSMT,MAS,Chennai Central,2026-09-27,22:45,8,Delayed,Maintenance Work,1530,74,18,Cloudy,27,494,25,Low,0,1,0,11,Monitor
124,12368,Duronto,MAS,Chennai Central,HWH,Howrah Junction,2026-04-23,07:30,0,On Time,No Delay,696,76,12,Cloudy,22,6802,23,Low,0,0,1,6,Monitor
125,12252,Intercity,CSTM,Mumbai CSMT,BCT,Mumbai Central,2026-09-02,07:15,0,On Time,No Delay,1484,85,16,Cloudy,41,7409,31,Low,1,0,0,5,Monitor
126,12806,Shatabdi,GKP,Gorakhpur,BBS,Bhubaneswar,2026-05-06,18:15,30,Delayed,Signal Failure,547,76,11,Heatwave,14,3694,39,Low,0,0,0,29,Monitor
127,14443,Intercity,GKP,Gorakhpur,BPL,Bhopal Junction,2026-06-01,20:30,15,At Risk,Weather,1205,75,4,Heavy Rain,27,4103,48,Medium,0,0,1,12,Notify station control
128,12746,Jan Shatabdi,VSKP,Visakhapatnam,PNBE,Patna Junction,2026-05-05,12:15,0,Completed,No Delay,1572,62,13,Clear,16,5139,26,Low,0,1,0,2,Monitor
129,13114,Shatabdi,BPL,Bhopal Junction,LKO,Lucknow Charbagh,2026-02-12,17:00,0,On Time,No Delay,917,76,3,Clear,19,7361,26,Low,0,0,0,8,Monitor
130,13202,Garib Rath,KOTA,Kota Junction,LKO,Lucknow Charbagh,2026-03-09,09:30,0,On Time,No Delay,1664,69,18,Heavy Rain,42,4277,38,Low,0,1,0,0,Monitor
131,12222,Intercity,BBS,Bhubaneswar,SDAH,Sealdah,2026-03-10,00:45,0,On Time,No Delay,1782,86,8,Clear,37,8423,30,Low,0,1,0,1,Monitor
132,13057,Superfast,LKO,Lucknow Charbagh,NGP,Nagpur Junction,2026-06-13,08:45,15,Delayed,Crew Delay,1161,81,11,Clear,19,6824,32,Low,0,0,0,19,Monitor
133,14526,Sampark Kranti,CNB,Kanpur Central,HWH,Howrah Junction,2026-08-05,20:30,0,Completed,No Delay,1752,40,15,Clear,44,3734,17,Low,0,1,1,4,Monitor
134,12492,Intercity,PUNE,Pune Junction,JP,Jaipur Junction,2026-09-20,20:00,10,At Risk,Maintenance Work,1372,64,13,Clear,31,8600,31,Low,0,0,0,18,Monitor
135,13122,Sampark Kranti,HWH,Howrah Junction,ADI,Ahmedabad Junction,2026-04-17,23:15,0,On Time,No Delay,1567,52,11,Storm,44,7352,29,Low,0,1,0,0,Monitor
136,13260,Sampark Kranti,VSKP,Visakhapatnam,CNB,Kanpur Central,2026-05-11,14:15,15,Delayed,Signal Failure,1168,44,4,Clear,23,7115,21,Low,0,0,0,13,Monitor
137,13161,Shatabdi,PNBE,Patna Junction,BBS,Bhubaneswar,2026-09-06,17:15,90,Delayed,Weather,271,78,11,Clear,34,2091,63,Medium,0,0,1,90,Notify station control
138,14060,Vande Bharat,LKO,Lucknow Charbagh,GKP,Gorakhpur,2026-04-07,08:00,18,At Risk,Platform Change,990,69,1,Clear,37,3532,31,Low,0,0,0,26,Monitor
139,14424,Superfast,GKP,Gorakhpur,HWH,Howrah Junction,2026-06-12,14:15,0,On Time,No Delay,717,67,11,Cloudy,33,6667,26,Low,1,0,0,7,Monitor
140,12287,Duronto,JP,Jaipur Junction,KOTA,Kota Junction,2026-07-14,05:45,0,On Time,No Delay,419,60,6,Clear,25,2616,23,Low,0,0,0,7,Monitor
141,14422,Express,ALD,Prayagraj Junction,MAS,Chennai Central,2026-07-22,15:45,0,On Time,No Delay,1103,54,1,Clear,29,2536,19,Low,1,0,1,7,Monitor
142,12511,Sampark Kranti,VSKP,Visakhapatnam,PNBE,Patna Junction,2026-08-18,16:00,0,On Time,No Delay,778,55,2,Rain,22,3983,22,Low,0,0,1,4,Monitor
143,12870,Superfast,GKP,Gorakhpur,HWH,Howrah Junction,2026-08-28,03:15,8,Delayed,Maintenance Work,1298,79,8,Rain,23,828,30,Low,0,0,0,11,Monitor
144,13191,Sampark Kranti,SBC,KSR Bengaluru City,KOTA,Kota Junction,2026-06-23,09:30,18,Delayed,Crew Delay,603,91,2,Cloudy,32,6047,38,Low,1,1,0,21,Monitor
